http://www.csc-scc.gc.ca/divulgation-contrats/2015-2016/4/2015-02-25-fra.shtml,SANOFI PASTEUR LIMITED,2174869,2015-02-25,1132 Produits pharmaceutiques et autres produits médicaux ,,2016-03-31,"125 000,00 $",Omis d'un rapport précédent
http://www.csc-scc.gc.ca/divulgation-contrats/2015-2016/4/2015-04-01-fra.shtml,LOGISTICS INHOUSE FORKLIFT TRAINING,2303705,2015-04-01,0440 Enseignement au non-fonctionnaires ,2015-04-01 au 2016-03-31,,"17 798,81 $",Omis d'un rapport précédent
http://www.csc-scc.gc.ca/divulgation-contrats/2015-2016/4/2015-06-01-fra.shtml,JHT DEFENSE INC,2240368,2015-06-01,1249 Autres pièces du matériel,,2016-03-31,"27 905,00 $",Omis d'un rapport précédent
http://www.csc-scc.gc.ca/divulgation-contrats/2015-2016/4/2015-07-30-fra.shtml,GIBEN AMERICA INC.,2285518,2015-07-30,1211 Machinerie industrielle spéciale,,2020-10-31,"120 438,00 $",Omis d'un rapport précédent
http://www.csc-scc.gc.ca/divulgation-contrats/2015-2016/4/2015-08-25-fra.shtml,ABBOTSFORD COMMUNITY SERVICES,2219463,2015-08-25,0499 Autres services professionnels non précisés ailleurs ,2016-04-01 au 2020-03-31,,"27 300,00 $","Services de traduction et d'interprétation
Omis d'un rapport précédent"
http://www.csc-scc.gc.ca/divulgation-contrats/2015-2016/4/2015-09-15-fra.shtml,DYNACARE,2022701,2015-09-15,"0451 Autres services de santé, non spécifiés ailleurs",2016-04-01 au 2019-03-31,,"162 720,00 $","Services de laboratoire
Omis d'un rapport précédent"
http://www.csc-scc.gc.ca/divulgation-contrats/2015-2016/4/2015-09-16-fra.shtml,DYNACARE,2068502,2015-09-16,"0451 Autres services de santé, non spécifiés ailleurs",2016-04-01 au 2019-03-31,,"162 720,00 $","Services de laboratoire
Omis d'un rapport précédent"
http://www.csc-scc.gc.ca/divulgation-contrats/2015-2016/4/2015-09-27-fra.shtml,THYSSENKRUPP ELEVATOR,2207755,2015-09-27,"0819 Contrats de services personnels non professionnels, non spécifiés ailleurs",2015-09-27 au 2018-09-28,,"339 000,00 $","Entretien des ascenceurs
Omis d'un rapport précédent"
http://www.csc-scc.gc.ca/divulgation-contrats/2015-2016/4/2015-10-01-fra.shtml,COMMUNITY JUSTICE INITIATIVES OF WATERLOO REGION,2202046,2015-10-01,0499 Autres services professionnels non précisés ailleurs,2016-01-01 au 2016-12-31,,"37 968,00 $","Programme de réintégration sociale pour les délinquants
Omis d'un rapport précédent"
http://www.csc-scc.gc.ca/divulgation-contrats/2015-2016/4/2015-10-01_1-fra.shtml,KELLOWAY CONSTRUCTION LTD,2206767,2015-10-01,0811 Nettoyage d'immeubles à contrat,2015-11-19 au 2016-06-30,,"23 445,24 $",Omis d'un rapport pécédent
http://www.csc-scc.gc.ca/divulgation-contrats/2015-2016/4/2015-10-02-fra.shtml,DR ROBERT MILLER INC,2236640,2015-10-02,0453 Médecins et chirurgiens,2015-10-05 au 2016-09-30,,"11 226,60 $",Omis d'un rapport pécédent
http://www.csc-scc.gc.ca/divulgation-contrats/2015-2016/4/2015-10-15-fra.shtml,BACCHUS NATASHIA,2242905,2015-10-15,0499 Autres services professionnels non précisés ailleurs,2016-01-01 au 2017-03-31,,"30 100,00 $","Services de conseil
Omis d'un rapport précédent"
http://www.csc-scc.gc.ca/divulgation-contrats/2015-2016/4/2015-10-21-fra.shtml,IVIS,2215745,2015-10-21,0639 Édifices institutionnels,2015-11-02 au 2016-03-15,,"41 299,65 $",Omis d'un rapport précédent
